pm2_5,city,co,pm10,level,o3,source,so2,crawl_time,date,aqi,no2
25,上海,0.7,44,良,127,aqi_redis_spider,13,2018-05-12 08:19:37.173000,2014-10-09,73,38
31,上海,0.7,54,良,141,aqi_redis_spider,13,2018-05-12 08:19:37.177000,2014-10-10,84,31
129,上海,1.2,156,中度污染,140,aqi_redis_spider,27,2018-05-12 08:19:37.180000,2014-11-06,170,66
45,上海,0.7,62,良,106,aqi_redis_spider,15,2018-05-12 08:19:37.183000,2014-11-07,63,33
24,上海,0.6,38,优,75,aqi_redis_spider,13,2018-05-12 08:19:37.186000,2014-11-08,38,35
34,上海,0.7,51,良,100,aqi_redis_spider,17,2018-05-12 08:19:37.189000,2014-11-09,51,31
46,上海,0.8,78,良,61,aqi_redis_spider,25,2018-05-12 08:19:37.192000,2014-01-10,64,47
44,上海,0.8,55,良,56,aqi_redis_spider,21,2018-05-12 08:19:37.194000,2014-01-11,61,44
86,上海,1,96,轻度污染,67,aqi_redis_spider,29,2018-05-12 08:19:37.197000,2014-01-12,113,50
54,上海,0.7,59,良,59,aqi_redis_spider,24,2018-05-12 08:19:37.199000,2014-01-13,73,32
26,上海,0.6,33,优,60,aqi_redis_spider,13,2018-05-12 08:19:37.207000,2014-02-10,37,22
35,上海,0.7,42,优,63,aqi_redis_spider,17,2018-05-12 08:19:37.215000,2014-02-11,50,29
152,上海,1.3,171,重度污染,107,aqi_redis_spider,35,2018-05-12 08:19:37.222000,2014-03-10,202,79
52,上海,0.6,93,良,116,aqi_redis_spider,21,2018-05-12 08:19:37.226000,2014-03-11,71,37
58,上海,0.9,71,良,81,aqi_redis_spider,17,2018-05-12 08:19:37.240000,2016-01-01,79,60
58,上海,0.8,65,良,82,aqi_redis_spider,12,2018-05-12 08:19:37.244000,2014-04-12,78,45
45,上海,0.7,36,良,112,aqi_redis_spider,12,2018-05-12 08:19:37.246000,2014-04-13,62,31
66,上海,0.8,81,良,130,aqi_redis_spider,14,2018-05-12 08:19:37.249000,2014-04-14,89,57
49,上海,0.6,65,良,131,aqi_redis_spider,16,2018-05-12 08:19:37.251000,2014-04-15,76,42
42,上海,0.6,58,良,111,aqi_redis_spider,11,2018-05-12 08:19:37.253000,2014-04-16,59,47
